LS Pattern,Frequencey,Percentage
"set(['L0_S19', 'L0_S21', 'L0_S13', 'L0_S12', 'L2_S26', 'L0_S17', 'L0_S20', 'L0_S14', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S37', 'L3_S34', 'L3_S35'])",158,0.00013347435433893026
"set(['L3_S29', 'L1_S25', 'L3_S33', 'L3_S30', 'L3_S37', 'L3_S34', 'L3_S35'])",3698,0.003123975711046608
"set(['L0_S23', 'L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L0_S17', 'L0_S15', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S31', 'L3_S37', 'L3_S34', 'L3_S35'])",246,0.0002078145010593471
"set(['L0_S22', 'L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L2_S26', 'L0_S17', 'L0_S15', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S36', 'L3_S37', 'L3_S34'])",154,0.00013009525676072948
"set(['L2_S27', 'L3_S30', 'L3_S37', 'L3_S29', 'L0_S9', 'L0_S8', 'L3_S34', 'L0_S3', 'L3_S33', 'L0_S1', 'L0_S0', 'L3_S36', 'L0_S6', 'L0_S5'])",819,0.0006918702291366067
"set(['L0_S10', 'L3_S30', 'L3_S37', 'L3_S29', 'L3_S32', 'L0_S8', 'L0_S3', 'L3_S33', 'L0_S1', 'L0_S0', 'L3_S36', 'L0_S6', 'L3_S34', 'L0_S4'])",166,0.00014023254949533179
"set(['L0_S22', 'L0_S19', 'L0_S13', 'L0_S12', 'L2_S27', 'L0_S17', 'L0_S20', 'L0_S14', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S37', 'L3_S34', 'L3_S35'])",215,0.00018162649482829116
"set(['L3_S36', 'L3_S37', 'L3_S29', 'L0_S9', 'L0_S8', 'L0_S3', 'L3_S33', 'L3_S30', 'L0_S0', 'L0_S7', 'L0_S1', 'L3_S34', 'L0_S4'])",10111,0.008541513903296985
"set(['L3_S35', 'L3_S31', 'L0_S10', 'L3_S30', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S33', 'L0_S2', 'L0_S1', 'L0_S0', 'L0_S6', 'L3_S34', 'L0_S4'])",500,0.0004223871972750957
"set(['L0_S10', 'L2_S27', 'L3_S30', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S34', 'L3_S33', 'L0_S2', 'L0_S1', 'L0_S0', 'L0_S6', 'L0_S5', 'L3_S35'])",803,0.0006783538388238037
"set(['L3_S36', 'L0_S11', 'L2_S27', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S34', 'L0_S3', 'L3_S33', 'L3_S30', 'L0_S0', 'L0_S7', 'L0_S1', 'L0_S5'])",769,0.0006496315094090972
"set(['L3_S35', 'L0_S11', 'L2_S27', 'L3_S37', 'L3_S29', 'L0_S8', 'L0_S3', 'L3_S33', 'L3_S30', 'L0_S0', 'L0_S7', 'L0_S1', 'L3_S34', 'L0_S4'])",831,0.000702007521871209
"set(['L3_S31', 'L0_S10', 'L3_S30', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S34', 'L0_S3', 'L3_S33', 'L0_S1', 'L0_S0', 'L0_S6', 'L0_S5', 'L3_S35'])",470,0.00039704396543859
"set(['L0_S19', 'L0_S21', 'L0_S13', 'L0_S12', 'L2_S26', 'L0_S17', 'L0_S20', 'L0_S15', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S36', 'L3_S37', 'L3_S34'])",163,0.0001376982263116812
"set(['L3_S36', 'L0_S10', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S33', 'L0_S2', 'L3_S30', 'L0_S0', 'L0_S7', 'L0_S1', 'L3_S34', 'L0_S4'])",10380,0.008768758215430987
"set(['L0_S22', 'L0_S19', 'L0_S13', 'L0_S12', 'L2_S26', 'L0_S16', 'L0_S15', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S36', 'L3_S37', 'L3_S34', 'L0_S20'])",169,0.00014276687267898236
"set(['L3_S31', 'L3_S37', 'L3_S29', 'L0_S9', 'L0_S8', 'L3_S34', 'L0_S3', 'L3_S33', 'L3_S30', 'L0_S0', 'L0_S7', 'L0_S1', 'L0_S5', 'L3_S35'])",485,0.0004097155813568428
"set(['L0_S22', 'L0_S19', 'L0_S13', 'L0_S12', 'L0_S17', 'L0_S20', 'L0_S15', 'L3_S51', 'L3_S39', 'L3_S49', 'L3_S48', 'L3_S47', 'L3_S45', 'L3_S43', 'L3_S41', 'L3_S40'])",156,0.00013178480554982985
"set(['L3_S44', 'L0_S1', 'L3_S40', 'L0_S10', 'L3_S50', 'L3_S51', 'L3_S39', 'L3_S41', 'L0_S8', 'L3_S48', 'L0_S3', 'L3_S45', 'L0_S0', 'L0_S6', 'L3_S47', 'L0_S4'])",344,0.0002906023917252658
"set(['L0_S22', 'L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L0_S17', 'L0_S15', 'L3_S51', 'L3_S39', 'L3_S49', 'L3_S48', 'L3_S47', 'L3_S45', 'L3_S44', 'L3_S41', 'L3_S40'])",157,0.00013262957994438006
"set(['L0_S22', 'L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L0_S17', 'L0_S15', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S31', 'L3_S36', 'L3_S37', 'L3_S34'])",264,0.00022302044016125054
"set(['L3_S36', 'L0_S10', 'L3_S37', 'L3_S29', 'L3_S38', 'L0_S8', 'L3_S34', 'L3_S33', 'L0_S2', 'L3_S30', 'L0_S0', 'L0_S7', 'L0_S1', 'L0_S5'])",312,0.0002635696110996597
"set(['L3_S30', 'L3_S37', 'L3_S29', 'L0_S9', 'L0_S8', 'L0_S3', 'L3_S33', 'L0_S1', 'L0_S0', 'L3_S36', 'L0_S6', 'L3_S34', 'L0_S4'])",10383,0.008771292538614637
"set(['L0_S23', 'L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L0_S16', 'L0_S15', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S31', 'L3_S37', 'L3_S34', 'L3_S35'])",254,0.00021457269621574863
"set(['L3_S35', 'L0_S10', 'L3_S37', 'L3_S29', 'L0_S8', 'L0_S3', 'L3_S33', 'L3_S30', 'L0_S0', 'L0_S7', 'L0_S1', 'L3_S34', 'L0_S4'])",9738,0.008226413054129763
"set(['L3_S36', 'L3_S37', 'L3_S29', 'L3_S32', 'L0_S9', 'L0_S8', 'L0_S3', 'L3_S33', 'L3_S30', 'L0_S0', 'L0_S7', 'L0_S1', 'L3_S34', 'L0_S4'])",159,0.00013431912873348043
"set(['L3_S35', 'L0_S11', 'L3_S37', 'L3_S29', 'L3_S38', 'L0_S8', 'L0_S3', 'L3_S33', 'L3_S30', 'L0_S0', 'L0_S7', 'L0_S1', 'L3_S34', 'L0_S4'])",254,0.00021457269621574863
"set(['L3_S31', 'L3_S36', 'L0_S11', 'L3_S37', 'L3_S29', 'L0_S8', 'L0_S3', 'L3_S33', 'L3_S30', 'L0_S0', 'L0_S7', 'L0_S1', 'L3_S34', 'L0_S4'])",463,0.0003911305446767386
"set(['L2_S27', 'L3_S36', 'L0_S10', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S34', 'L0_S3', 'L3_S33', 'L3_S30', 'L0_S0', 'L0_S7', 'L0_S1', 'L0_S5'])",811,0.0006851120339802052
"set(['L0_S11', 'L3_S30', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S33', 'L3_S32', 'L0_S2', 'L0_S1', 'L0_S0', 'L3_S36', 'L0_S6', 'L3_S34', 'L0_S4'])",190,0.00016050713496453637
"set(['L3_S44', 'L3_S49', 'L0_S1', 'L0_S10', 'L3_S51', 'L3_S39', 'L3_S41', 'L0_S8', 'L3_S48', 'L3_S47', 'L0_S2', 'L3_S45', 'L0_S0', 'L0_S6', 'L0_S5', 'L3_S40'])",360,0.00030411878203806894
"set(['L0_S22', 'L0_S19', 'L0_S13', 'L0_S12', 'L2_S27', 'L0_S20', 'L0_S16', 'L3_S29', 'L3_S33', 'L3_S30', 'L0_S14', 'L3_S36', 'L3_S37', 'L3_S34'])",175,0.0001478355190462835
"set(['L3_S31', 'L3_S36', 'L0_S11', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S33', 'L0_S2', 'L3_S30', 'L0_S0', 'L0_S7', 'L0_S1', 'L3_S34', 'L0_S4'])",475,0.0004012678374113409
"set(['L0_S19', 'L0_S21', 'L0_S13', 'L0_S12', 'L2_S26', 'L0_S20', 'L0_S16', 'L3_S29', 'L3_S33', 'L3_S30', 'L0_S14', 'L3_S36', 'L3_S37', 'L3_S34'])",177,0.0001495250678353839
"set(['L3_S35', 'L3_S31', 'L3_S37', 'L3_S29', 'L0_S9', 'L0_S8', 'L0_S3', 'L3_S33', 'L3_S30', 'L0_S0', 'L0_S7', 'L0_S1', 'L3_S34', 'L0_S4'])",487,0.0004114051301459432
"set(['L3_S43', 'L3_S50', 'L3_S51', 'L0_S9', 'L0_S8', 'L3_S39', 'L3_S41', 'L3_S48', 'L3_S47', 'L0_S2', 'L3_S45', 'L0_S0', 'L0_S7', 'L0_S1', 'L0_S5', 'L3_S40'])",327,0.0002762412270179126
"set(['L0_S22', 'L0_S19', 'L0_S13', 'L0_S12', 'L2_S26', 'L0_S20', 'L0_S16', 'L3_S29', 'L3_S33', 'L3_S30', 'L0_S14', 'L3_S37', 'L3_S34', 'L3_S35'])",171,0.00014445642146808274
"set(['L0_S23', 'L0_S19', 'L0_S13', 'L0_S12', 'L0_S20', 'L0_S14', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S31', 'L3_S36', 'L3_S37', 'L3_S34', 'L0_S16'])",243,0.00020528017787569653
"set(['L0_S8', 'L0_S11', 'L3_S40', 'L3_S51', 'L3_S39', 'L3_S43', 'L3_S41', 'L3_S49', 'L3_S48', 'L0_S3', 'L0_S1', 'L0_S0', 'L0_S7', 'L3_S45', 'L3_S47', 'L0_S4'])",342,0.0002889128429361655
"set(['L0_S22', 'L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L0_S17', 'L0_S15', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S31', 'L3_S37', 'L3_S34', 'L3_S35'])",230,0.00019429811074654402
"set(['L0_S19', 'L0_S21', 'L0_S13', 'L0_S12', 'L0_S17', 'L0_S20', 'L0_S14', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S37', 'L3_S34', 'L3_S35'])",3976,0.003358822992731561
"set(['L2_S26', 'L0_S10', 'L3_S30', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S34', 'L0_S3', 'L3_S33', 'L0_S1', 'L0_S0', 'L3_S36', 'L0_S6', 'L0_S5'])",939,0.0007932431564826297
"set(['L0_S10', 'L3_S30', 'L3_S37', 'L3_S29', 'L3_S32', 'L0_S8', 'L3_S34', 'L0_S3', 'L3_S33', 'L0_S1', 'L0_S0', 'L0_S6', 'L0_S5', 'L3_S35'])",151,0.0001275609335770789
"set(['L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L2_S26', 'L0_S16', 'L0_S14', 'L3_S29', 'L0_S21', 'L3_S33', 'L3_S30', 'L3_S36', 'L3_S37', 'L3_S34'])",164,0.00013854300070623138
"set(['L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L0_S16', 'L0_S15', 'L3_S29', 'L0_S21', 'L3_S33', 'L3_S30', 'L3_S36', 'L3_S37', 'L3_S34'])",3855,0.003256605290990988
"set(['L3_S43', 'L0_S10', 'L3_S50', 'L3_S51', 'L0_S8', 'L3_S39', 'L3_S40', 'L3_S48', 'L3_S47', 'L0_S2', 'L3_S45', 'L0_S0', 'L0_S7', 'L0_S1', 'L3_S41', 'L0_S4'])",332,0.00028046509899066357
"set(['L3_S50', 'L3_S51', 'L1_S25', 'L3_S39', 'L3_S48', 'L3_S47', 'L3_S45', 'L3_S43', 'L3_S41', 'L3_S40'])",203,0.00017148920209368885
"set(['L2_S26', 'L1_S24', 'L3_S33', 'L3_S30', 'L3_S37', 'L3_S34', 'L3_S35'])",263,0.00022217566576670033
"set(['L3_S29', 'L1_S24', 'L3_S33', 'L3_S30', 'L3_S36', 'L3_S37', 'L3_S34'])",5736,0.004845625927139898
"set(['L0_S22', 'L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L0_S17', 'L0_S14', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S31', 'L3_S37', 'L3_S34', 'L3_S35'])",266,0.0002247099889503509
"set(['L0_S22', 'L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L2_S26', 'L0_S17', 'L0_S15', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S37', 'L3_S34', 'L3_S35'])",153,0.00012925048236617928
"set(['L0_S23', 'L0_S19', 'L0_S13', 'L0_S12', 'L2_S27', 'L0_S17', 'L0_S20', 'L0_S15', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S37', 'L3_S34', 'L3_S35'])",198,0.0001672653301209379
"set(['L2_S26', 'L0_S10', 'L3_S30', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S33', 'L0_S2', 'L0_S1', 'L0_S0', 'L3_S36', 'L0_S6', 'L3_S34', 'L0_S4'])",899,0.0007594521807006221
"set(['L3_S44', 'L0_S11', 'L3_S50', 'L3_S51', 'L0_S8', 'L3_S39', 'L3_S40', 'L3_S48', 'L3_S47', 'L0_S2', 'L3_S45', 'L0_S0', 'L0_S7', 'L0_S1', 'L3_S41', 'L0_S4'])",353,0.00029820536127621756
"set(['L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L0_S16', 'L0_S15', 'L3_S29', 'L0_S21', 'L3_S33', 'L3_S30', 'L3_S31', 'L3_S37', 'L3_S34', 'L3_S35'])",219,0.0001850055924064919
"set(['L3_S36', 'L3_S37', 'L3_S29', 'L0_S9', 'L0_S8', 'L3_S34', 'L3_S33', 'L3_S32', 'L0_S2', 'L3_S30', 'L0_S0', 'L0_S7', 'L0_S1', 'L0_S5'])",164,0.00013854300070623138
"set(['L3_S36', 'L3_S38', 'L3_S37', 'L3_S29', 'L0_S9', 'L0_S8', 'L3_S34', 'L0_S3', 'L3_S33', 'L3_S30', 'L0_S0', 'L0_S7', 'L0_S1', 'L0_S5'])",275,0.00023231295850130264
"set(['L3_S44', 'L3_S40', 'L0_S11', 'L3_S39', 'L3_S51', 'L0_S8', 'L3_S49', 'L3_S48', 'L3_S47', 'L0_S2', 'L3_S45', 'L0_S0', 'L0_S7', 'L0_S1', 'L3_S41', 'L0_S4'])",318,0.00026863825746696086
"set(['L0_S22', 'L0_S19', 'L0_S13', 'L0_S12', 'L2_S27', 'L0_S16', 'L0_S15', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S35', 'L3_S37', 'L3_S34', 'L0_S20'])",169,0.00014276687267898236
"set(['L0_S23', 'L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L0_S17', 'L0_S14', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S37', 'L3_S34', 'L3_S35'])",3721,0.003143405522121262
"set(['L3_S36', 'L0_S11', 'L3_S30', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S34', 'L3_S33', 'L0_S2', 'L0_S1', 'L0_S0', 'L0_S7', 'L2_S26', 'L0_S5'])",887,0.0007493148879660198
"set(['L3_S35', 'L2_S26', 'L3_S30', 'L3_S37', 'L3_S29', 'L0_S9', 'L0_S8', 'L0_S3', 'L3_S33', 'L0_S1', 'L0_S0', 'L0_S6', 'L3_S34', 'L0_S4'])",853,0.0007205925585513133
"set(['L3_S31', 'L0_S11', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S34', 'L0_S3', 'L3_S33', 'L3_S30', 'L0_S0', 'L0_S7', 'L0_S1', 'L0_S5', 'L3_S35'])",472,0.00039873351422769034
"set(['L0_S23', 'L0_S19', 'L0_S13', 'L0_S12', 'L0_S17', 'L0_S20', 'L0_S15', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S36', 'L3_S37', 'L3_S34'])",3830,0.0032354859311272332
"set(['L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L0_S17', 'L0_S14', 'L3_S29', 'L0_S21', 'L3_S33', 'L3_S30', 'L3_S31', 'L3_S37', 'L3_S34', 'L3_S35'])",226,0.00019091901316834327
"set(['L0_S11', 'L2_S26', 'L3_S30', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S34', 'L0_S3', 'L3_S33', 'L0_S1', 'L0_S0', 'L3_S36', 'L0_S6', 'L0_S5'])",854,0.0007214373329458635
"set(['L3_S50', 'L3_S51', 'L1_S25', 'L3_S39', 'L3_S48', 'L3_S47', 'L3_S45', 'L3_S44', 'L3_S41', 'L3_S40'])",228,0.00019260856195744364
"set(['L0_S11', 'L3_S30', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S34', 'L3_S33', 'L3_S32', 'L0_S2', 'L0_S1', 'L0_S0', 'L0_S6', 'L0_S5', 'L3_S35'])",163,0.0001376982263116812
"set(['L3_S29', 'L3_S33', 'L3_S30', 'L3_S37', 'L3_S34', 'L3_S35'])",820,0.0006927150035311569
"set(['L0_S22', 'L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L0_S16', 'L0_S14', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S31', 'L3_S37', 'L3_S34', 'L3_S35'])",215,0.00018162649482829116
"set(['L3_S51', 'L3_S39', 'L3_S49', 'L3_S48', 'L3_S47', 'L3_S45', 'L3_S40', 'L3_S43', 'L3_S41', 'L1_S24'])",162,0.000136853451917131
"set(['L0_S22', 'L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L2_S27', 'L0_S16', 'L0_S15', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S37', 'L3_S34', 'L3_S35'])",214,0.00018078172043374096
"set(['L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L0_S17', 'L0_S14', 'L3_S51', 'L0_S21', 'L3_S49', 'L3_S48', 'L3_S47', 'L3_S39', 'L3_S44', 'L3_S45', 'L3_S41', 'L3_S40'])",158,0.00013347435433893026
